index,Species,brain,body
1,Mountain beaver,8.1,1.35
2,Cow,423,465
3,Grey wolf,119.5,36.33
4,Goat,115,27.66
5,Guinea pig,5.5,1.04
6,Dipliodocus,50,11700
7,Asian elephant,4603,2547
8,Donkey,419,187.1
9,Horse,655,521
10,Potar monkey,115,10
11,Cat,25.6,3.3
12,Giraffe,680,529
13,Gorilla,406,207
14,Human,1320,62
15,African elephant,5712,6654
16,Triceratops,70,9400
17,Rhesus monkey,179,6.8
18,Kangaroo,56,35
19,Golden hamster,1,0.12
20,Mouse,0.4,0.023
21,Rabbit,12.1,2.5
22,Sheep,175,55.5
23,Jaguar,157,100
24,Chimpanzee,440,52.16
25,Rat,1.9,0.28
26,Brachiosaurus,154.5,87000
27,Mole,3,0.122
28,Pig,180,192
